de	the
tank	a) (fuel) tank b) tank (army vehicle)
uiterlijk	external
verleiden	to seduce
vuurwerk	firework
zuinig	frugal
afstaan	to give up
architectuur	architecture
evaluatie	evaluation
folder	leaflet
gunst	favour
kermis	fair
leer	1) leather 2) doctrine
sprang	jump
varken	pig
verwoorden	to articulate
essentie	essence
kar	cart
kijk	look
overeenstemming	agreement
overweging	consideration
psycholoog	psychologist
spot	a) spotlight b) ridicule
winkelen	to shop
bel	bell
keten	chain
oppassen	to babysit
pompen	to pump
schenden	to harm
stop	stop
vraagteken	question mark
corrigeren	to correct
echo	echo
geschrift	writing
inlichting	information
menu	menu
taart	cake
aanschaffen	to purchase
ethisch	ethical
kopie	copy
levendig	lively
vaderland	(native) country
standaard	standard
baren	to bear
contrast	contrast
ferm	firm
genetisch	genetic
globaal	rough
pesten	to bully
privacy	privacy
uitlopen	a) to sprout b) to lead to
dosis	dose
krap	tight
overheersen	to dominate
truc	trick
vaardigheid	skill
associëren	to associate
bestraffen	to punish
deal	deal
erfenis	heritage, inheritance
invulling	interpretation, filling-in
psychiater	psychiatrist
speelgoed	toys
zeil	sail
apparatuur	equipment
inbouwen	to build in
isoleren	to isolate
metro	metro
overtreffen	to surpass
piloot	pilot
redding	rescue
schema	scheme
toekomen	to get round to
uitverkopen	to sell out
vacature	vacancy
afkeuren	to disapprove
dal	valley
experimenteren	to experiment
idioot	idiot
inschatten	to assess, to estimate
introductie	introduction
kerst	Christmas
meer	lake
overdrijven	to exaggerate
rauw	raw
slordig	untidy, sloppy
verleden	past, last
verlof	leave
zaaien	to sow
beschaving	civilization
demonstreren	a) to show b) to protest
dirigent	conductor
tweeling	twins
veelvuldig	frequent
woestijn	desert
zinvol	meaningful
aanmelden (zich)	to sign up
bruikbaar	useful
camping	camp site
compliment	compliment
dopen	to baptize
kappen	to cut (down)
moedig	brave
opknappen	a) to do up, to restore b) to recover
vlakte	plain
bewering	assertion
erna	after (it)
interviewen	to interview
kalender	calendar
ongelijk	unequal
sprookje	fairy tale
uitstap, uitstapje	trip
buurvrouw	neighbour, woman next door
chocolade	chocolate
hoofddoek	headscarf
inhalen	to overtake
kleintje	little one
mythe	myth
schandalig	scandalous
verouderen	to age
volgorde	order
bevrijding	liberation
inspecteur	inspector
manipuleren	to manipulate
opgave	task
vissen	to fish
ideaal	ideal
ironisch	ironic
kopiëren	to copy
opeisen	to claim
strip	cartoon
troon	throne
uitermate	extremely
vergaderen	to meet
vermits	since
wegvallen	to be lost
bestelling	order
boeiend	fascinating
bronzen	bronze
diagnose	diagnosis
driekwart	three-quarter
lief	beloved
materie	matter
ontnemen	to deprive
afstemmen	to tune, to adjust
helikopter	helicopter
indelen	to classify, to group
inleiding	introduction
lek	leaky, flat
metaal	metal
uitkiezen	to pick
afbeelden	to depict
afdoen	a) to take off b) to dismiss
afrekenen	a) to settle the bill b) to judge (on)
benzine	petrol
bezien	to see
bont	(multi)coloured
conferentie	conference
juf	(female) teacher
medium	medium
pijl	arrow
pittig	spicy
planning	plan(ning)
razend	a) furious b) very
allerlaatst	very last
explosie	explosion
portie	serving
slang	a) snake b) hose
toets	key
verpakking	packing
hoeverre	to what extent
journaal	news
kapel	chapel
paradijs	paradise
plak	slice
revolutionair	revolutionary
voorin	in (the) front
afhalen	to pick up, to collect
fanatiek	fanatic
hakken	to cut/hew (out)
luik	a) shutter b) part
stammen	to date
afwijking	deviation
checken	to check
drang	urge
duister	dark
regelmaat	regularity
verantwoording	responsibility
volume	volume
boter	butter
identiek	identical
onnozel	silly
pogen	to attempt
profeet	prophet
prooi	prey
voornemen	to plan
wantrouwen	distrust
wetsvoorstel	bill
wijsheid	wisdom
zodoende	consequently
landen	to land
mist	fog
nachtmerrie	nightmare
ondergang	(down)fall, destruction
rat	rat
bereik	reach
beschouwing	consideration, view
betoog	argument, plea
binnenland	inland
buitenkant	outside
chic	chic
eend	duck
gokken	to gamble
instorten	to collapse
order	order
rede	speech
regelrecht	straight
uitdrukkelijk	explicit
beer	bear
komisch	comic
redeneren	to reason
verwarming	heating
woeden	to rage
communist	communist
daaronder	thereunder
doortrekken	a) to extend b) to flush
harmonie	harmony
puber	adolescent
rijst	rice
spreker	speaker
kantine	canteen
molen	mill
zijkant	side
kas	a) greenhouse b) cash
kerkelijk	ecclesiastical, church
verslaafd	addicted
breedte	width
erdoor	through it
koelkast	refrigerator
kwijtraken	to lose
meegeven	to give
opeten	to eat
sporten	to play sport, to exercise
verbond	treaty, covenant
verpakken	to wrap up
voortkomen	to result
weerhouden	to withhold
beton	concrete
box	speaker
eergisteren	day before yesterday
heden	today
pap	porridge
wezenlijk	substantial
alsmaar	ever
giftig	toxic
hieruit	from this
boren	to drill
doorstaan	to endure
gelovig	faithful
kruid	herb
moraal	moral
oftewel	i.e.
beslaan	to cover
jegens	towards
meekrijgen	to get, to receive
steil	steep
strook	strip
blijk	token
omgang	contact
opdringen	to impose
shit	shit
uitwerking	effect
brein	brain
friet	French fries, chips
microfoon	microphone
opvatten	to take
tegenaan	against it, for it
tegenovergesteld	opposite
lui	lazy
rolstoel	wheelchair
verwarmen	to warm, to heat
abstract	abstract
ridder	knight
toetsen	to test
vastzitten	to get stuck
afvallen	a) to fall down b) to lose weight
betrekkelijk	relatively
etiket	label
inzitten	to sit in, to contain
overlaten	to leave
permitteren	to afford
vanwaar	from where, why
weggooien	to throw away
brievenbus	letterbox
formulier	form
goed	good
kostuum	suit
onbelangrijk	unimportant
vlinder	butterfly
zegen	blessing
samenvatten	to summarize
daarbuiten	outside
standbeeld	statue
taalgebruik	language usage
duw	push
oppikken	to pick up
prent	print
zagen	to saw
hoelang	how long
ijzer	iron
koorts	fever
poster	poster
wolf	wolf
worst	sausage
christen	Christian
nota	note, bill
snoep	sweets
zeilen	to sail
bezitting	possession
onderkant	underside
viool	violin
ontspanning	relaxation
piek	peak
portemonnee	wallet
slijten	to wear (out)
veronderstelling	hypothesis
vers	verse
solliciteren	to apply
kathedraal	cathedral
saus	sauce
babbelen	to chat
knal	bang
huiswerk	homework
deugen	to be good
drieduizend	three thousand
kapper	hairdresser
omslag	1) cover 2) change
onvoorstelbaar	unimaginable
terzijde	aside
datgene	what
naar	nasty
oven	oven
plassen	to have a pee
pardon	pardon
woordenboek	dictionary
tomaat	tomato
aansteken	to light
goddelijk	divine
nimmer	never
samenwonen	to live together, to cohabit
honderdduizend	hundred thousand
map	folder
uzelf	yourself
achterop	on the back
uithangen	to hang out
verschieten	to go pale
vijfduizend	five thousand
tandarts	dentist
zoal	what (kind of things)
eer	before
kap	hood
onderwijzer	teacher
kot	student accommodation
akelig	nasty
hol	hole
vermaken	to entertain
ontbijten	to have breakfast
überhaupt	anyway, at all
telefoneren	to phone
stenen	stone
